precinct
90200
90201
90202
90206
90211
90215
90217
90220
90221
90223
90224
90225
90226
90227
90228
90302
90303
90308
90309
90503
90506
140004
140005
140007
140009
140010
140017
140020
140024
140036
140037
140040
140041
140043
140050
140060
140061
140063
140064
140065
140069
140072
140078
140086
140087
140088
550001
550002
550003
550005
550012
550014
550015
550016
550021
550022
550035
550036
550051
550052
550062
550063
550065
550066
550067
550072
550073
550074
550075
550076
550077
550098
550099
550102
550103
550107
550108
550109
550110
550111
550112
550113
550114
550115
550116
550117
550118
550119
550120
550121
550122
550123
550124
550125
550126
550127
550128
550129
550130
550131
550132
550133
550134
550135
550136
550137
550138
550139
550140
550141
550142
550143
550144
550145
550146
550147
550148
550149
550150
550151
550152
550153
550154
550155
550156
550157
550158
550159
550160
550161
550162
550163
550164
550165
550166
550167
550168
550169
550170
550171
550172
550173
550174
550175
550176
550177
550178
550179
550180
550181
550182
550183
550184
550185
550186
550187
550188
550189
550190
550191
550192
550193
550194
550195
550196
550197
550198
550199
550200
550201
550202
550203
550204
550205
550206
550207
550208
550209
550210
550211
550212
550213
550214
550215
550216
550217
550218
550219
550220
550221
550222
550223
550224
550225
550226
550227
550228
550229
550230
550231
550232
550233
550234
550235
550237
550238
550239
550240
550241
550242
550243
550244
550245
550246
550247
550248
550249
550250
550251
550252
550253
550254
550257
630025
